model,folds,trainable_params,trainable_ratio_percent,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std,f1_mean,f1_std,macro_f1_mean,macro_f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std
Adapter Probe,5,133762.0,0.0683,0.8875,0.1118033988749894,0.8233,0.0218321446008928,0.604,0.0383287473568123,0.7176,0.0594936393675137,0.8021,0.0384086429318968,0.901,0.0393715152509154,0.6947,0.0861072708488086
Internal Adapter follow-up,5,199298.0,0.1016297542556152,0.8125,0.1711632992203644,0.8234800838574424,0.048181555797721966,0.5877428529602442,0.045066080646413105,0.6737294610734024,0.06640126129078515,0.7748035777719402,0.03674606964512538,0.9013840074813994,0.03211341216169972,0.6794071008902847,0.06654712740835664
