experiment,folds,target_reached_folds,default_sensitivity_mean,default_sensitivity_std,default_specificity_mean,default_specificity_std,default_f1_mean,default_f1_std,calibrated_accuracy_mean,calibrated_accuracy_std,calibrated_precision_mean,calibrated_precision_std,calibrated_sensitivity_mean,calibrated_sensitivity_std,calibrated_specificity_mean,calibrated_specificity_std,calibrated_f1_mean,calibrated_f1_std,calibrated_macro_f1_mean,calibrated_macro_f1_std,auroc_mean,auroc_std,auprc_mean,auprc_std,selected_threshold_mean,selected_threshold_std,trainable_params_mean,trainable_params_std
adapter_probe,5,5,0.700735294117647,0.17469232716278688,0.8608665269042627,0.0287962279857823,0.6441264875475402,0.12237563546719284,0.8385507246376811,0.02828205850643116,0.603998389694042,0.03832874735681231,0.8875,0.11180339887498948,0.8232704402515724,0.021832144600892802,0.7175660924441412,0.05949363936751375,0.8021465197629618,0.038408642931896865,0.9010430797056767,0.039371515250915486,0.6947098481055158,0.08610727084880869,0.4,0.05590169943749473,133762.0,0.0
linear_probe,5,5,0.25735294117647056,0.2512269846918723,0.9622641509433961,0.040024912142634754,0.311025641025641,0.29149064849340506,0.8010351966873707,0.03353142533318532,0.5496146767885898,0.0595889584782625,0.8389705882352942,0.09556702253312986,0.7895877009084555,0.037711900675246095,0.6623856681873818,0.06183688492412011,0.7605495852609268,0.041824026025205206,0.8979911723599294,0.03354741874087977,0.6870358606455099,0.09403205730993933,0.36,0.03791437722025776,1026.0,0.0
zero_shot,5,0,0.22279411764705884,0.09599742733721213,0.7780573025856045,0.03198391693351177,0.22545416022612902,0.08220036143345895,0.648447204968944,0.034195666448486706,0.23062126470021208,0.07350726450315818,0.22279411764705884,0.09599742733721213,0.7780573025856045,0.03198391693351177,0.22545416022612902,0.08220036143345895,0.49883860221496856,0.048994822384433555,0.4859266452912402,0.0723668676731276,0.2680110272623829,0.06644276395754484,0.5,0.0,0.0,0.0
